"","X","nmz","ndz","a","c","e","g","b","x","PGS","A","p4","p3","p1","p2","p8","p7","p5","p6","p12","p11","p9","p10","p16","p15","p13","p14","Smz","Sdz"
"63",63,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.913,0.895,1,1,0.913,0.895,1,1,0.913,0.895,1,1,0.629,0.544,1,1,0.30298221281347,0.239736659610103
"64",64,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"65",65,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.15,0.85,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.24,0.05,0.239,0.424,0.0732106781186548,0.0378553390593273
"66",66,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.15,0.85,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.69,0.05,0.713,0.941,0.151421356237309,0.0807106781186548
"67",67,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.437,0.573,0.213,0.05,0.437,0.573,0.214,0.05,0.437,0.573,0.214,0.05,0.215,0.375,0.211,0.0757106781186547,0.0757106781186547
"68",68,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.15,0.85,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.227,0.204,0.812,0.82,0.15392135623731,0.118566017177982
"69",69,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.15,0.85,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.66,0.194,0.982,0.996,0.237132034355964,0.16642135623731
"70",70,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.605,0.886,0.615,0.16142135623731,0.16142135623731
"71",71,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.15,0.85,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.215,0.577,0.991,0.975,0.244632034355964,0.209276695296637
"72",72,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.15,0.85,0.904,0.896,1,1,0.904,0.896,1,1,0.904,0.896,1,1,0.628,0.55,1,1,0.332842712474619,0.262132034355964
"73",73,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"74",74,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.238,0.05,0.249,0.43,0.0657455532033677,0.0341227766016838
"75",75,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.687,0.05,0.732,0.945,0.136491106406735,0.0732455532033676
"76",76,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.208,0.373,0.215,0.0682455532033674,0.0682455532033674
"77",77,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.402,0.408,0.908,0.906,0.402,0.408,0.908,0.906,0.402,0.408,0.908,0.906,0.226,0.199,0.819,0.829,0.138991106406735,0.107368329805051
"78",78,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.925,0.387,0.994,1,0.925,0.387,0.994,1,0.925,0.387,0.994,1,0.659,0.19,0.985,0.996,0.214736659610103,0.151491106406735
"79",79,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.928,0.986,0.651,0.05,0.928,0.986,0.651,0.05,0.928,0.986,0.651,0.05,0.593,0.886,0.626,0.146491106406735,0.146491106406735
"80",80,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.387,0.913,1,0.993,0.387,0.913,1,0.993,0.387,0.913,1,0.993,0.215,0.568,0.992,0.978,0.222236659610103,0.190613883008419
"81",81,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.913,0.895,1,1,0.913,0.895,1,1,0.913,0.895,1,1,0.629,0.544,1,1,0.30298221281347,0.239736659610103
"82",82,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"83",83,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.15,0.85,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.24,0.05,0.239,0.424,0.0732106781186548,0.0378553390593273
"84",84,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.15,0.85,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.69,0.05,0.713,0.941,0.151421356237309,0.0807106781186548
"85",85,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.437,0.573,0.213,0.05,0.437,0.573,0.214,0.05,0.437,0.573,0.214,0.05,0.215,0.375,0.211,0.0757106781186547,0.0757106781186547
"86",86,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.15,0.85,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.227,0.204,0.812,0.82,0.15392135623731,0.118566017177982
"87",87,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.15,0.85,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.66,0.194,0.982,0.996,0.237132034355964,0.16642135623731
"88",88,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.605,0.886,0.615,0.16142135623731,0.16142135623731
"89",89,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.15,0.85,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.215,0.577,0.991,0.975,0.244632034355964,0.209276695296637
"90",90,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.15,0.85,0.904,0.896,1,1,0.904,0.896,1,1,0.904,0.896,1,1,0.628,0.55,1,1,0.332842712474619,0.262132034355964
"91",91,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"92",92,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.238,0.05,0.249,0.43,0.0657455532033677,0.0341227766016838
"93",93,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.687,0.05,0.732,0.945,0.136491106406735,0.0732455532033676
"94",94,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.208,0.373,0.215,0.0682455532033674,0.0682455532033674
"95",95,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.402,0.408,0.908,0.906,0.402,0.408,0.908,0.906,0.402,0.408,0.908,0.906,0.226,0.199,0.819,0.829,0.138991106406735,0.107368329805051
"96",96,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.925,0.387,0.994,1,0.925,0.387,0.994,1,0.925,0.387,0.994,1,0.659,0.19,0.985,0.996,0.214736659610103,0.151491106406735
"97",97,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.928,0.986,0.651,0.05,0.928,0.986,0.651,0.05,0.928,0.986,0.651,0.05,0.593,0.886,0.626,0.146491106406735,0.146491106406735
"98",98,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.387,0.913,1,0.993,0.387,0.913,1,0.993,0.387,0.913,1,0.993,0.215,0.568,0.992,0.978,0.222236659610103,0.190613883008419
"99",99,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.913,0.895,1,1,0.913,0.895,1,1,0.913,0.895,1,1,0.629,0.544,1,1,0.30298221281347,0.239736659610103
"100",100,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"101",101,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.15,0.85,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.24,0.05,0.239,0.424,0.0732106781186548,0.0378553390593273
"102",102,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.15,0.85,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.69,0.05,0.713,0.941,0.151421356237309,0.0807106781186548
"103",103,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.437,0.573,0.213,0.05,0.437,0.573,0.214,0.05,0.437,0.573,0.214,0.05,0.215,0.375,0.211,0.0757106781186547,0.0757106781186547
"104",104,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.15,0.85,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.227,0.204,0.812,0.82,0.15392135623731,0.118566017177982
"105",105,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.15,0.85,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.66,0.194,0.982,0.996,0.237132034355964,0.16642135623731
"106",106,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.605,0.886,0.615,0.16142135623731,0.16142135623731
"107",107,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.15,0.85,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.215,0.577,0.991,0.975,0.244632034355964,0.209276695296637
"108",108,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.15,0.85,0.904,0.896,1,1,0.904,0.896,1,1,0.904,0.896,1,1,0.628,0.55,1,1,0.332842712474619,0.262132034355964
"109",109,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-1.11022302462516e-16,-1.11022302462516e-16
"110",110,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.416,0.05,0.219,0.559,0.238,0.05,0.249,0.43,0.0657455532033677,0.0341227766016838
"111",111,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.935,0.05,0.682,0.989,0.687,0.05,0.732,0.945,0.136491106406735,0.0732455532033676
"112",112,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.429,0.572,0.222,0.05,0.208,0.373,0.215,0.0682455532033674,0.0682455532033674
"113",113,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.402,0.408,0.908,0.906,0.402,0.408,0.908,0.906,0.402,0.408,0.908,0.906,0.226,0.199,0.819,0.829,0.138991106406735,0.107368329805051
"114",114,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.925,0.387,0.994,1,0.925,0.387,0.994,1,0.925,0.387,0.994,1,0.659,0.19,0.985,0.996,0.214736659610103,0.151491106406735
"115",115,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.928,0.986,0.651,0.05,0.928,0.986,0.651,0.05,0.928,0.986,0.651,0.05,0.593,0.886,0.626,0.146491106406735,0.146491106406735
"116",116,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.387,0.913,1,0.993,0.387,0.913,1,0.993,0.387,0.913,1,0.993,0.215,0.568,0.992,0.978,0.222236659610103,0.190613883008419
"117",117,4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.913,0.895,1,1,0.913,0.895,1,1,0.913,0.895,1,1,0.629,0.544,1,1,0.30298221281347,0.239736659610103
"118",118,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0,0,0.15,0.85,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
"119",119,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.05,0,0.15,0.85,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.406,0.05,0.203,0.539,0.24,0.05,0.239,0.424,0.0732106781186548,0.0378553390593273
"120",120,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0,0.1,0,0.15,0.85,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.928,0.05,0.643,0.985,0.69,0.05,0.713,0.941,0.151421356237309,0.0807106781186548
"121",121,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.437,0.573,0.213,0.05,0.437,0.573,0.214,0.05,0.437,0.573,0.214,0.05,0.215,0.375,0.211,0.0757106781186547,0.0757106781186547
"122",122,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.05,0,0.15,0.85,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.392,0.413,0.897,0.892,0.227,0.204,0.812,0.82,0.15392135623731,0.118566017177982
"123",123,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.05,0.1,0,0.15,0.85,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.917,0.39,0.992,1,0.66,0.194,0.982,0.996,0.237132034355964,0.16642135623731
"124",124,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0,0,0.15,0.85,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.931,0.985,0.63,0.05,0.605,0.886,0.615,0.16142135623731,0.16142135623731
"125",125,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.05,0,0.15,0.85,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.377,0.915,0.999,0.99,0.215,0.577,0.991,0.975,0.244632034355964,0.209276695296637
"126",126,4000,4000,0.707106781186548,0.447213595499958,0.547722557505166,0.1,0.1,0,0.15,0.85,0.904,0.896,1,1,0.904,0.896,1,1,0.904,0.896,1,1,0.628,0.55,1,1,0.332842712474619,0.262132034355964
