"","nmz","ndz","a","c","e","g","b","x","PGS","A","e1","e2","e3","e4","e5","e6","e7","e8","e9","Smz","Sdz"
"1",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.02,0.98,0,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"2",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.02,0.98,0.025,0.025,0.1,0,0.1,0.013,0.1,0,0.1,0.0657455532033677,0.0341227766016838
"3",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.02,0.98,0.05,0.05,0.2,0,0.2,0.025,0.2,0,0.2,0.136491106406735,0.0732455532033676
"4",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.02,0.98,0.05,0.05,0.067,0.05,0,0.05,0.057,0.05,0,0.0682455532033674,0.0682455532033674
"5",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.02,0.98,0.075,0.075,0.167,0.05,0.1,0.062,0.157,0.05,0.1,0.138991106406735,0.107368329805051
"6",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.02,0.98,0.1,0.1,0.267,0.05,0.2,0.075,0.257,0.05,0.2,0.214736659610103,0.151491106406735
"7",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.02,0.98,0.1,0.1,0.133,0.1,0,0.1,0.114,0.1,0,0.146491106406735,0.146491106406735
"8",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.02,0.98,0.125,0.125,0.233,0.1,0.1,0.113,0.214,0.1,0.1,0.222236659610103,0.190613883008419
"9",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.02,0.98,0.15,0.15,0.333,0.1,0.2,0.125,0.314,0.1,0.2,0.30298221281347,0.239736659610103
"10",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.05,0.95,0,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"11",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.05,0.95,0.025,0.025,0.1,0,0.1,0.013,0.1,0,0.1,0.0657455532033677,0.0341227766016838
"12",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.05,0.95,0.05,0.05,0.2,0,0.2,0.025,0.2,0,0.2,0.136491106406735,0.0732455532033676
"13",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.05,0.95,0.05,0.05,0.067,0.05,0,0.05,0.057,0.05,0,0.0682455532033674,0.0682455532033674
"14",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.05,0.95,0.075,0.075,0.167,0.05,0.1,0.062,0.157,0.05,0.1,0.138991106406735,0.107368329805051
"15",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.05,0.95,0.1,0.1,0.267,0.05,0.2,0.075,0.257,0.05,0.2,0.214736659610103,0.151491106406735
"16",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.05,0.95,0.1,0.1,0.133,0.1,0,0.1,0.114,0.1,0,0.146491106406735,0.146491106406735
"17",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.05,0.95,0.125,0.125,0.233,0.1,0.1,0.112,0.214,0.1,0.1,0.222236659610103,0.190613883008419
"18",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.05,0.95,0.15,0.15,0.333,0.1,0.2,0.125,0.314,0.1,0.2,0.30298221281347,0.239736659610103
"19",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"20",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.1,0.9,0.025,0.025,0.1,0,0.1,0.012,0.1,0,0.1,0.0657455532033677,0.0341227766016838
"21",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.1,0.9,0.05,0.05,0.2,0,0.2,0.025,0.2,0,0.2,0.136491106406735,0.0732455532033676
"22",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.1,0.9,0.05,0.05,0.067,0.05,0,0.05,0.057,0.05,0,0.0682455532033674,0.0682455532033674
"23",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.1,0.9,0.075,0.075,0.167,0.05,0.1,0.062,0.157,0.05,0.1,0.138991106406735,0.107368329805051
"24",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.1,0.9,0.1,0.1,0.267,0.05,0.2,0.075,0.257,0.05,0.2,0.214736659610103,0.151491106406735
"25",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.1,0.9,0.1,0.1,0.133,0.1,0,0.1,0.114,0.1,0,0.146491106406735,0.146491106406735
"26",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.1,0.9,0.125,0.125,0.233,0.1,0.1,0.112,0.214,0.1,0.1,0.222236659610103,0.190613883008419
"27",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.1,0.9,0.15,0.15,0.333,0.1,0.2,0.125,0.314,0.1,0.2,0.30298221281347,0.239736659610103
"28",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"29",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.025,0.025,0.1,0,0.1,0.012,0.1,0,0.1,0.0657455532033677,0.0341227766016838
"30",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.05,0.05,0.2,0,0.2,0.025,0.2,0,0.2,0.136491106406735,0.0732455532033676
"31",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.05,0.067,0.05,0,0.05,0.057,0.05,0,0.0682455532033674,0.0682455532033674
"32",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.075,0.075,0.167,0.05,0.1,0.062,0.157,0.05,0.1,0.138991106406735,0.107368329805051
"33",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.1,0.1,0.267,0.05,0.2,0.075,0.257,0.05,0.2,0.214736659610103,0.151491106406735
"34",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.1,0.1,0.133,0.1,0,0.1,0.114,0.1,0,0.146491106406735,0.146491106406735
"35",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.125,0.125,0.233,0.1,0.1,0.112,0.214,0.1,0.1,0.222236659610103,0.190613883008419
"36",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.15,0.15,0.333,0.1,0.2,0.125,0.314,0.1,0.2,0.30298221281347,0.239736659610103
"37",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"38",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.025,0.025,0.1,0,0.1,0.012,0.1,0,0.1,0.0657455532033677,0.0341227766016838
"39",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.05,0.05,0.2,0,0.2,0.025,0.2,0,0.2,0.136491106406735,0.0732455532033676
"40",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.05,0.067,0.05,0,0.05,0.057,0.05,0,0.0682455532033674,0.0682455532033674
"41",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.075,0.075,0.167,0.05,0.1,0.062,0.157,0.05,0.1,0.138991106406735,0.107368329805051
"42",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.1,0.1,0.267,0.05,0.2,0.075,0.257,0.05,0.2,0.214736659610103,0.151491106406735
"43",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.1,0.1,0.133,0.1,0,0.1,0.114,0.1,0,0.146491106406735,0.146491106406735
"44",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.125,0.125,0.233,0.1,0.1,0.112,0.214,0.1,0.1,0.222236659610103,0.190613883008419
"45",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.15,0.15,0.333,0.1,0.2,0.125,0.314,0.1,0.2,0.30298221281347,0.239736659610103
"46",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"47",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.025,0.025,0.1,0,0.1,0.012,0.1,0,0.1,0.0657455532033677,0.0341227766016838
"48",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.05,0.05,0.2,0,0.2,0.025,0.2,0,0.2,0.136491106406735,0.0732455532033676
"49",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.05,0.067,0.05,0,0.05,0.057,0.05,0,0.0682455532033674,0.0682455532033674
"50",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.075,0.075,0.167,0.05,0.1,0.062,0.157,0.05,0.1,0.138991106406735,0.107368329805051
"51",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.1,0.1,0.267,0.05,0.2,0.075,0.257,0.05,0.2,0.214736659610103,0.151491106406735
"52",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.1,0.1,0.133,0.1,0,0.1,0.114,0.1,0,0.146491106406735,0.146491106406735
"53",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.125,0.125,0.233,0.1,0.1,0.112,0.214,0.1,0.1,0.222236659610103,0.190613883008419
"54",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.15,0.15,0.333,0.1,0.2,0.125,0.314,0.1,0.2,0.30298221281347,0.239736659610103
"55",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,-1.11022302462516e-16,-1.11022302462516e-16
"56",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.05,0,0.15,0.85,0.025,0.025,0.1,0,0.1,0.012,0.1,0,0.1,0.0657455532033677,0.0341227766016838
"57",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0,0.1,0,0.15,0.85,0.05,0.05,0.2,0,0.2,0.025,0.2,0,0.2,0.136491106406735,0.0732455532033676
"58",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0,0,0.15,0.85,0.05,0.05,0.067,0.05,0,0.05,0.057,0.05,0,0.0682455532033674,0.0682455532033674
"59",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.05,0,0.15,0.85,0.075,0.075,0.167,0.05,0.1,0.062,0.157,0.05,0.1,0.138991106406735,0.107368329805051
"60",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.05,0.1,0,0.15,0.85,0.1,0.1,0.267,0.05,0.2,0.075,0.257,0.05,0.2,0.214736659610103,0.151491106406735
"61",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0,0,0.15,0.85,0.1,0.1,0.133,0.1,0,0.1,0.114,0.1,0,0.146491106406735,0.146491106406735
"62",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.05,0,0.15,0.85,0.125,0.125,0.233,0.1,0.1,0.112,0.214,0.1,0.1,0.222236659610103,0.190613883008419
"63",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.1,0.1,0,0.15,0.85,0.15,0.15,0.333,0.1,0.2,0.125,0.314,0.1,0.2,0.30298221281347,0.239736659610103
